Accession	BSF	PCF
Tb11.0090	1.312	0
Tb927_10_v4.snoRNA.0010:snoRNA	27.1231	45.3829
Tb927.10.9680	37.3487	48.2335
Tb927.10.5880	36.8963	51.75
Tb927.10.5600	16.3425	15.9334
Tb927.6.1330	0	0
Tb09.v1.0320	1.5219	0
Tb927.7.880	34.3482	39.2801
Tb09.211.2210	30.3862	24.0055
Tb927.8.8300	83.2939	743.1344
Tb927.7.7175	73.4841	40.797
Tb09.244.2680	62.9533	67.3718
Tb11.01.8560	39.5196	45.9498
Tb11.v4.0003	13.963	5.2825
Tb11.02.2530	65.8672	62.2121
Tb927.8.1240	36.3099	43.3964
Tb11.22.0008	62.3943	51.4006
Tb927.4.1210	0	0
Tb927.8.2663	0.9248	0
Tb11.01.4810	72.7531	56.2637
Tb927.3.3730	20.2006	28.4438
Tb927.10.9170	127.8504	92.9726
Tb927.2.5600	0.1939	0.2615
Tb927.3.1840	387.1208	664.6236
Tb09.211.1240	78.7408	135.8357
Tb927_06_v4.snoRNA.0034	0	0
Tb10.v4.0106	0	0
Tb09.160.3450	2.9478	0
Tb927.8.1440	69.3914	132.484
Tb11.49.0009	0	0
Tb927.5.990	53.8372	61.2992
Tb927.2.1942	0	0
Tb927.4.3680	35.445	41.9035
Tb927.1.3770	0	0
Tb927_08_v4.snoRNA.0035	1.3166	7.6616
Tb11.49.0001	3.1211	0
Tb927.10.3700	35.5256	29.5311
Tb11.14.0006	0	0
Tb927.5.4620	5.929	0
Tb11.0870	0	0
Tb927.10.16450	0	0
Tb927.1.470	13.915	3.1094
Tb927.10.4370	0.4284	0.5477
Tb927.10.550	26.1356	28.1143
Tb927.3.3830	54.0457	30.1626
Tb927.5.4780	0	0
Tb927.3.3380	76.8657	28.1521
Tb11.01.8700	24.7023	45.3293
Tb927.3.1820	29.9351	54.7818
Tb927.6.1892	0	0
Tb927.3.950	48.2166	70.9027
Tb11.02.5040	40.0267	39.2224
Tb11.32.0002	0	0
Tb927.1.2400	79.601	82.6717
Tb927.7.6570	60.234	11.3881
Tb10.v4.0128	8.8555	13.3093
Tb11.47.0023	76.8004	72.5418
Tb927.7.950	48.3266	48.1216
Tb927.10.6690	48.3379	40.4826
Tb08.27P2.480	0	0
Tb927.8.6510	46.1177	42.4622
Tb05.5K5.370	0	0
Tb11.03.0660	66.2503	74.8763
Tb927.2.6000	225.823	15.514
Tb927.6.2160	69.8785	36.5564
Tb927.8.6160	36.6784	51.9257
Tb927.8.1380	49.43	23.0755
Tb11_snoRNA_0036	0	0.0803
Tb927.8.1990	642.1213	621.2553
Tb10.v4.0207	0	0
Tb927.8.2300	55.0899	55.2733
Tb09.160.4560	96.8325	104.9277
Tb11.55.0016	28.7656	44.089
Tb927.10.9610	72.0768	43.7252
tryp_IXb-6d06.q1c.snoRNA.0037	0	0
Tb927.10.4460	1.7924	0.6651
Tb927.5.4330	42.5661	78.9597
Tb927.1.110	78.6109	63.1655
Tb927.7.1390	50.179	43.6991
Tb927.5.5130	0	0
Tb927.4.4630	31.8681	82.216
Tb927.5.2400	30.7746	37.2716
Tb927.6.2310	7.846	2.6941
Tb10.v4.0209	0	0
Tb09.211.4240	222.9917	97.6552
Tb927.7.5420	24.2539	11.629
